started_at,method,path,label,status,elapsed_ms,bytes_read,error
2026-06-04T11:22:03.646977+00:00,GET,/static/styles.css,Main stylesheet,200,362.4396000232082,18140,
2026-06-04T11:22:03.667977+00:00,GET,/login,Login page,200,345.96700000111014,30789,
2026-06-04T11:22:03.647979+00:00,GET,/static/styles.css,Main stylesheet,200,381.98830001056194,18140,
2026-06-04T11:22:03.708977+00:00,GET,/register,Register page,200,336.9992999942042,39583,
2026-06-04T11:22:03.748979+00:00,GET,/register,Register page,200,329.93849998456426,39583,
2026-06-04T11:22:03.709976+00:00,GET,/static/styles.css,Main stylesheet,200,419.1995000001043,18140,
2026-06-04T11:22:03.823977+00:00,GET,/register,Register page,200,306.4647999999579,39583,
2026-06-04T11:22:03.749978+00:00,GET,/,Root redirect,200,557.8027000010479,30789,
2026-06-04T11:22:03.789976+00:00,GET,/,Root redirect,200,597.3844999971334,30789,
2026-06-04T11:22:03.809977+00:00,GET,/static/styles.css,Main stylesheet,200,802.2543999832124,18140,
2026-06-04T11:22:04.523630+00:00,GET,/static/styles.css,Main stylesheet,200,283.61329998006113,18140,
2026-06-04T11:22:04.558629+00:00,GET,/static/styles.css,Main stylesheet,200,297.7479000110179,18140,
2026-06-04T11:22:04.523630+00:00,GET,/static/styles.css,Main stylesheet,200,361.70270000002347,18140,
2026-06-04T11:22:04.587631+00:00,GET,/static/styles.css,Main stylesheet,200,329.111400002148,18140,
2026-06-04T11:22:04.558629+00:00,GET,/login,Login page,200,359.3313999881502,30789,
2026-06-04T11:22:04.632734+00:00,GET,/admin-login,Admin login page,200,302.9920000117272,9945,
2026-06-04T11:22:04.820638+00:00,GET,/admin-login,Admin login page,200,261.8683000036981,9945,
2026-06-04T11:22:04.896638+00:00,GET,/register,Register page,200,295.6537999853026,39583,
2026-06-04T11:22:05.113886+00:00,GET,/admin-login,Admin login page,200,233.70700000668876,9945,
2026-06-04T11:22:04.632734+00:00,GET,/admin-login,Admin login page,200,751.6202999977395,9945,
2026-06-04T11:22:05.317754+00:00,GET,/register,Register page,200,298.2124999980442,39583,
2026-06-04T11:22:05.365043+00:00,GET,/register,Register page,200,329.403599986108,39583,
2026-06-04T11:22:05.395577+00:00,GET,/login,Login page,200,349.6674000052735,30789,
2026-06-04T11:22:05.427580+00:00,GET,/register,Register page,200,319.02299998910166,39583,
2026-06-04T11:22:05.596898+00:00,GET,/static/styles.css,Main stylesheet,200,314.90940001094714,18140,
2026-06-04T11:22:05.705737+00:00,GET,/login,Login page,200,283.8280000141822,30789,
2026-06-04T11:22:05.451580+00:00,GET,/,Root redirect,200,578.7716000049841,30789,
2026-06-04T11:22:05.427580+00:00,GET,/,Root redirect,200,646.6935999924317,30789,
2026-06-04T11:22:05.860419+00:00,GET,/login,Login page,200,290.9345999942161,30789,
2026-06-04T11:22:05.892389+00:00,GET,/register,Register page,200,307.2465999866836,39583,
2026-06-04T11:22:06.202358+00:00,GET,/static/styles.css,Main stylesheet,200,280.03069999977015,18140,
2026-06-04T11:22:06.249367+00:00,GET,/login,Login page,200,278.6568000155967,30789,
2026-06-04T11:22:06.249367+00:00,GET,/register,Register page,200,314.9062999873422,39583,
2026-06-04T11:22:06.124615+00:00,GET,/,Root redirect,200,551.7641000042204,30789,
2026-06-04T11:22:06.429884+00:00,GET,/register,Register page,200,265.8980000123847,39583,
2026-06-04T11:22:06.499547+00:00,GET,/admin-login,Admin login page,200,286.55930000240915,9945,
2026-06-04T11:22:06.544552+00:00,GET,/static/styles.css,Main stylesheet,200,301.9849999982398,18140,
2026-06-04T11:22:06.575108+00:00,GET,/register,Register page,200,293.28509999322705,39583,
2026-06-04T11:22:06.651876+00:00,GET,/admin-login,Admin login page,200,292.03379998216406,9945,
2026-06-04T11:22:06.714601+00:00,GET,/register,Register page,200,300.483599974541,39583,
2026-06-04T11:22:07.042697+00:00,GET,/admin-login,Admin login page,200,287.7339999831747,9945,
2026-06-04T11:22:07.074230+00:00,GET,/login,Login page,200,267.5423999899067,30789,
2026-06-04T11:22:07.184078+00:00,GET,/static/styles.css,Main stylesheet,200,303.9076999993995,18140,
2026-06-04T11:22:06.995581+00:00,GET,/,Root redirect,200,627.6887000130955,30789,
2026-06-04T11:22:07.355620+00:00,GET,/static/styles.css,Main stylesheet,200,312.68989999080077,18140,
2026-06-04T11:22:07.450575+00:00,GET,/static/styles.css,Main stylesheet,200,288.6614000017289,18140,
2026-06-04T11:22:07.201085+00:00,GET,/,Root redirect,200,563.600099994801,30789,
2026-06-04T11:22:07.528735+00:00,GET,/login,Login page,200,259.4946000026539,30789,
2026-06-04T11:22:07.293382+00:00,GET,/,Root redirect,200,582.9585999890696,30789,
2026-06-04T11:22:07.373624+00:00,GET,/,Root redirect,200,556.1701999977231,30789,
2026-06-04T11:22:07.856963+00:00,GET,/admin-login,Admin login page,200,256.41420000465587,9945,
2026-06-04T11:22:07.997166+00:00,GET,/admin-login,Admin login page,200,341.5217000001576,9945,
2026-06-04T11:22:07.839959+00:00,GET,/,Root redirect,200,621.1367000069004,30789,
2026-06-04T11:22:08.170625+00:00,GET,/register,Register page,200,310.94429999939166,39583,
2026-06-04T11:22:08.248315+00:00,GET,/login,Login page,200,264.8942999949213,30789,
2026-06-04T11:22:08.296743+00:00,GET,/static/styles.css,Main stylesheet,200,238.37100001401268,18140,
